securityCode,securityName,scale,trackingIndex,trackIndex
159781.SZ,科创创业ETF易方达,16960883188.711,科创创业50,931643.CSI
159992.SZ,创新药ETF银华,16313546316.195,CS创新药,931152.CSI
159530.SZ,机器人ETF易方达,16251965185.545,CNIROBOT,980022.CNI
159201.SZ,自由现金流ETF华夏,15371699744.874,自由现金流,980092.CNI
159928.SZ,消费ETF汇添富,14970330134.08,中证消费,000932.SH
510210.SH,上证指数ETF富国,14908363563,上证指数,000001.SH
512010.SH,医药ETF易方达,14857222197.7,300医药,000913.SH
517520.SH,黄金股ETF永赢,14322488300,SSH黄金股票,931238.CSI
512690.SH,酒ETF鹏华,13234015132.2,中证酒,399987.SZ
512070.SH,证券保险ETF易方达,12990747645.7,300非银,h30035.CSI
159206.SZ,卫星ETF永赢,12816725410.525,卫星通信,980018.CNI
159870.SZ,化工ETF鹏华,12594367511.649,细分化工,000813.CSI
513310.SH,中韩半导体ETF华泰柏瑞,12097226680,中韩半导体,931790.CSI
513750.SH,港股通非银ETF广发,11842495056,港股通非银,931024.CSI
513630.SH,港股低波红利ETF摩根,11338366809,标普港股通低波红利指数,SPAHLVCP.SPI
512760.SH,芯片ETF国泰,10944390050,中华半导体芯片,990001.CSI
159636.SZ,港股通科技30ETF工银,10479398096.97,港股通科技,987008.CNI
515220.SH,煤炭ETF国泰,9947256948.1,中证煤炭,399998.SZ
512800.SH,银行ETF华宝,9822338716.5,中证银行,399986.SZ
513980.SH,港股科技ETF景顺,9593487136,港股通科技,931573.CSI
159259.SZ,成长ETF易方达,9558529696.573,成长100,980080.CNI
159852.SZ,软件ETF嘉实,9433996163.939,中证软件,930601.CSI
516650.SH,有色金属ETF华夏,9362294512.8,细分有色,000811.CSI
159611.SZ,电力ETF广发,9337497416,电力指数,h30199.CSI
513650.SH,标普500ETF南方,8907100020,标普500,SPX.GI
159263.SZ,价值ETF易方达,8530476107.758,价值100,980081.CNI
159869.SZ,游戏ETF华夏,8288008697.16,动漫游戏,930901.CSI
159920.SZ,恒生ETF华夏,8278663985.988,恒生指数,HSI.HI
560860.SH,工业有色ETF万家,8265132684,工业有色,h11059.CSI
518680.SH,金ETF富国,8106095171.5,上海金,SHAU.SGE
512660.SH,军工ETF国泰,7847492800,中证军工,399967.SZ
159363.SZ,创业板人工智能ETF华宝,7342200143.328,创业板人工智能,970070.CNI
512710.SH,军工龙头ETF富国,7046913400.8,军工龙头,931066.CSI
159545.SZ,港股通红利低波ETF易方达,6859119951.432,恒生港股通高股息低波动指数,HSHYLV.HI
159307.SZ,红利低波100ETF博时,6833127166.208,红利低波100,930955.CSI
159755.SZ,电池ETF广发,6820996196.242,新能电池,980032.CNI
159980.SZ,有色ETF大成,6657904466.982,上期有色金属指数,IMCI.SHF
588220.SH,科创100ETF鹏华,6652158522.1,科创100,000698.SH
515980.SH,人工智能ETF华富,6508457967,人工智能,931071.CSI
159865.SZ,养殖ETF国泰,6469998777.565,中证畜牧,930707.CSI
159851.SZ,金融科技ETF华宝,6337472201.244,金融科技,930986.CSI
516150.SH,稀土ETF嘉实,6245047820,稀土产业,930598.CSI
512950.SH,央企改革ETF华夏,6088081806,结构调整,000860.CSI
159316.SZ,港股通创新药ETF易方达,5985378156.375,恒生港股通创新药指数,HSSCID.HI
159967.SZ,创业板成长ETF华夏,5871714013.934,创成长,399296.SZ
561980.SH,半导体设备ETF招商,5860093900,中证半导,931865.CSI
563300.SH,中证2000ETF华泰柏瑞,5633452866,中证2000,932000.CSI
512040.SH,价值ETF富国,5569555500.5,国信价值,931052.CSI
